Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
WEGE4;16,10;11,60;3,50;1,991;0,00%;1,805;6,26;8,88;8,91;8,48;7,78;22,42%;17,74%;1,76;28,22%;30,19%;0,00;19.299.600.000,00;0,22;23,15%
TEMP3;4,15;11,64;4,92;0,980;0,00%;2,014;9,98;10,60;19,39;9,55;7,74;9,25%;8,42%;1,41;34,49%;42,27%;0,00;135.736.000,00;0,23;-13,11%
MELK3;3,52;11,66;0,62;0,706;13,83%;0,296;0,54;12,53;0,82;9,43;8,73;5,63%;11,22%;2,85;3,02%;5,33%;4.637.100,00;1.168.920.000,00;0,27;18,55%
CPLE3;9,09;11,70;1,10;1,262;3,80%;0,479;4,83;7,36;-1,69;9,88;7,17;17,14%;11,13%;1,57;7,82%;9,36%;48.211.100,00;24.758.300.000,00;0,67;5,05%
DMVF3;6,26;11,72;0,36;0,166;0,00%;0,192;4,65;9,60;-1,26;8,82;2,03;1,73%;1,42%;1,15;2,52%;3,06%;590.680,00;882.864.000,00;0,03;22,56%
INTB3;20,40;11,79;2,41;1,547;3,18%;1,209;2,93;12,88;4,63;12,23;10,44;12,01%;13,12%;2,21;17,83%;20,42%;21.575.800,00;2.775.170.000,00;0,33;17,15%
NAFG3;64,37;11,80;2,76;1,102;0,00%;1,153;3,20;7,35;60,48;8,64;6,57;14,99%;9,28%;2,52;19,92%;23,42%;0,00;316.392.000,00;0,81;9,49%
NAFG4;64,42;11,81;2,76;1,103;0,00%;1,154;3,20;7,36;60,52;8,65;6,57;14,99%;9,28%;2,52;19,92%;23,42%;0,00;316.392.000,00;0,81;9,49%
JOPA4;34,98;11,84;0,62;0,168;1,36%;0,164;0,38;2,50;2,43;6,08;5,54;6,70%;1,65%;2,45;9,65%;5,21%;0,00;599.884.000,00;1,98;13,77%
ODPV3;11,29;11,87;5,05;2,853;10,48%;2,626;-29,78;10,90;-18,76;9,67;8,88;26,18%;24,04%;0,79;34,82%;42,57%;10.848.800,00;1.234.900.000,00;0,00;5,46%
RANI3;7,58;11,93;1,45;1,158;7,32%;0,519;2,38;4,86;-1,68;7,69;5,47;23,84%;9,71%;2,86;13,52%;12,18%;9.307.490,00;1.251.320.000,00;1,34;14,37%
FESA4;7,68;11,94;0,83;1,277;5,80%;0,650;2,33;12,56;3,80;10,48;5,23;10,17%;10,71%;3,55;6,55%;6,95%;4.870.690,00;3.270.490.000,00;0,09;13,61%
BPAC11;34,10;11,95;2,46;0,000;2,30%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;20,63%;300.209.000,00;53.075.600.000,00;0,00;15,99%
FIBR3;66,30;12,03;2,59;2,010;7,59%;0,899;9,59;5,13;-2,54;7,17;5,29;39,18%;16,75%;1,46;22,95%;21,57%;0,00;14.149.000.000,00;1,46;22,71%
EBCO3;1,05;12,03;0,84;0,346;0,00%;0,368;52,72;8,94;-15,02;8,68;8,68;3,88%;2,90%;1,01;5,04%;7,00%;0,00;828.097.000,00;0,02;6,09%
MPLU3;26,80;12,20;17,37;6,877;0,00%;2,676;50,65;10,34;66,01;7,71;7,28;66,52%;56,37%;1,06;129,57%;142,40%;0,00;250.279.000,00;0,00;-18,88%
BMGB11;33,60;12,33;1,19;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;9,64%;0,00;4.120.420.000,00;0,00;-7,40%
AMPI3;55,00;12,41;2,74;0,247;0,00%;0,177;5,68;0,98;-0,68;1,99;1,73;25,18%;15,11%;1,12;21,22%;22,09%;0,00;240.799.000,00;4,48;14,12%
DXCO3;8,25;12,49;1,03;0,885;3,48%;0,367;3,77;7,96;-1,06;13,83;5,63;11,11%;7,31%;1,51;5,59%;8,24%;26.499.000,00;6.573.960.000,00;1,07;9,43%
ENMT4;81,80;12,53;4,46;2,259;4,72%;1,261;21,94;7,80;-2,81;9,85;8,71;28,96%;18,02%;1,27;18,81%;35,57%;24.067,40;4.016.540.000,00;1,52;12,05%
TMGC7;800,01;12,68;1,63;1,164;0,00%;1,120;6,77;17,85;11,96;16,52;16,52;6,52%;9,18%;1,69;8,73%;12,83%;0,00;1.167.010.000,00;0,05;10,49%
BMIN3;19,50;12,81;0,68;0,000;6,53%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;5,33%;466,36;137.896.000,00;0,00;25,20%
CPLE11;50,12;12,90;1,21;1,392;3,28%;0,528;5,33;8,12;-1,86;10,64;7,72;17,14%;11,13%;1,57;7,82%;9,36%;0,00;24.758.300.000,00;0,67;5,05%
AVIL3;0,93;12,97;4,16;2,338;0,00%;2,227;3,89;10,00;9,02;9,40;9,40;23,38%;18,01%;5,14;40,99%;32,03%;0,00;1.106.590.000,00;0,52;1,74%
CXSE3;14,74;12,98;3,48;0,000;9,13%;3,228;109,08;-361,22;109,96;-353,99;-354,01;0,00%;0,00%;1,40;-0,96%;26,85%;54.995.900,00;12.690.400.000,00;0,00;0,00%
DXTG4;3,68;13,02;1,32;0,675;0,00%;0,689;2,44;6,26;7,48;6,33;6,33;10,78%;6,60%;2,77;12,31%;10,10%;0,00;768.999.000,00;0,04;8,30%
ENMT3;85,01;13,03;4,63;2,348;5,44%;1,311;22,80;8,11;-2,92;10,15;8,98;28,96%;18,02%;1,27;18,81%;35,57%;13.785,30;4.016.540.000,00;1,52;12,05%
ENGI3;13,80;13,07;2,00;1,020;2,74%;0,428;9,35;4,50;-0,93;7,85;6,30;22,68%;10,35%;1,20;11,60%;15,33%;87.155,50;15.775.600.000,00;2,19;11,41%
SFSA4;4,40;13,10;0,82;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;6,25%;0,00;739.524.000,00;0,00;0,15%
CPLE6;10,19;13,11;1,23;1,415;3,73%;0,537;5,42;8,25;-1,89;10,77;7,82;17,14%;11,13%;1,57;7,82%;9,36%;128.593.000,00;24.758.300.000,00;0,67;5,05%
ALUP4;10,13;13,14;1,23;2,770;4,13%;0,320;4,04;3,98;-0,78;7,58;7,08;69,68%;35,09%;1,59;9,27%;9,38%;130.331,00;7.814.090.000,00;1,60;-13,44%
GETI3;14,45;13,19;3,44;1,916;0,00%;1,314;-15,63;6,98;-3,19;8,20;6,76;27,43%;14,52%;0,71;22,70%;26,09%;0,00;1.601.130.000,00;0,86;13,39%
GETI4;14,46;13,20;3,44;1,917;0,00%;1,315;-15,64;6,99;-3,20;8,20;6,76;27,43%;14,52%;0,71;22,70%;26,09%;0,00;1.601.130.000,00;0,86;13,39%
MTRE3;3,60;13,20;0,39;0,349;4,90%;0,186;0,35;6,66;0,53;12,78;9,87;5,24%;3,78%;2,65;3,25%;2,95%;2.695.320,00;977.120.000,00;0,59;34,91%
GMAT3;7,51;13,21;1,85;0,562;2,00%;0,969;2,92;9,75;6,92;11,27;9,24;5,77%;4,30%;2,20;12,99%;13,97%;25.462.100,00;8.992.320.000,00;0,42;27,45%
LUXM3;10,00;13,22;1,63;1,558;0,00%;1,182;-84,01;10,05;-8,07;9,69;5,80;15,51%;11,78%;0,90;12,68%;12,32%;0,00;127.589.000,00;0,01;4,89%
MULT3;25,54;13,25;2,06;6,899;3,26%;1,262;36,93;9,65;-5,34;11,04;10,13;71,46%;52,09%;1,29;14,58%;15,56%;113.850.000,00;7.164.590.000,00;0,43;18,16%
ALUP11;30,76;13,30;1,25;2,804;4,08%;0,324;4,09;4,02;-0,78;7,62;7,12;69,68%;35,09%;1,59;9,27%;9,38%;31.704.700,00;7.814.090.000,00;1,60;-13,44%
RGEG3;3,00;13,42;1,60;0,770;0,00%;0,609;-98,28;6,23;-1,76;10,04;11,70;12,36%;5,74%;0,98;11,69%;11,90%;0,00;1.915.180.000,00;1,15;10,09%
ALUP3;10,38;13,46;1,26;2,838;4,03%;0,328;4,14;4,07;-0,79;7,67;7,17;69,68%;35,09%;1,59;9,27%;9,38%;72.935,00;7.814.090.000,00;1,60;-13,44%
VIVA3;27,11;13,70;2,95;2,741;1,38%;1,859;4,48;14,40;7,53;14,15;10,59;19,04%;20,01%;3,06;15,38%;21,50%;95.001.100,00;2.174.010.000,00;0,11;24,30%
B3SA3;10,73;13,92;3,05;5,721;3,90%;1,254;8,41;10,51;-5,53;10,08;8,63;54,41%;41,11%;1,70;17,83%;21,88%;559.472.000,00;19.117.100.000,00;0,67;6,24%
ARCE3;54,00;14,01;2,60;2,461;0,00%;1,726;11,33;8,89;102,03;9,07;9,07;27,70%;19,46%;1,97;22,04%;18,59%;0,00;13.495.400.000,00;0,17;48,47%
USIM3;6,01;14,04;0,32;0,289;4,28%;0,190;0,61;-90,37;1,89;-100,79;7,83;-0,32%;2,86%;3,59;-0,27%;2,26%;2.919.670,00;23.691.700.000,00;0,27;14,81%
ARML3;8,04;14,13;2,16;1,793;4,45%;0,569;3,22;5,35;-1,53;8,57;6,37;33,52%;12,69%;1,93;15,98%;15,30%;7.320.550,00;1.288.620.000,00;2,22;50,33%
ABEV3;12,92;14,14;2,14;2,525;5,65%;1,419;55,05;11,78;-22,40;11,10;8,18;21,43%;18,36%;1,11;15,82%;15,11%;360.203.000,00;95.262.800.000,00;0,04;11,56%
OPCT3;6,78;14,23;1,49;0,758;0,00%;0,534;13,24;4,95;-1,51;8,47;4,52;15,32%;1,29%;1,16;12,72%;10,45%;4.611.280,00;912.216.000,00;1,39;40,18%
TMGC11;900,00;14,26;1,83;1,309;0,00%;1,260;7,62;20,08;13,46;18,75;18,75;6,52%;9,18%;1,69;8,73%;12,83%;0,00;1.167.010.000,00;0,05;10,49%
FLRY3;15,59;14,29;1,59;1,144;4,81%;0,666;3,56;7,26;-2,66;9,94;6,04;15,75%;7,96%;2,35;11,61%;11,15%;49.024.300,00;5.356.850.000,00;0,96;27,44%
IRBR3;45,55;14,34;0,82;0,663;0,00%;0,234;0,00;17,80;0,00;0,00;0,00;3,73%;4,63%;0,00;0,00%;5,70%;82.007.100,00;4.588.740.000,00;0,00;0,00%
SMFT3;21,53;14,34;2,36;2,609;2,50%;0,789;8,76;12,05;-1,82;13,94;6,28;21,64%;18,34%;1,64;8,17%;16,48%;55.656.700,00;5.339.620.000,00;0,90;26,74%
TNCP4;182,60;14,42;2,49;3,091;0,00%;1,696;52,65;11,85;-22,30;11,88;8,72;26,08%;21,44%;1,15;16,48%;17,29%;0,00;13.081.500.000,00;0,09;97,79%
VIVT4;45,34;14,44;1,08;1,391;0,00%;0,604;111,89;9,42;-2,41;10,87;3,99;14,77%;9,67%;1,03;7,45%;7,51%;0,00;69.086.200.000,00;0,27;5,87%
USIM5;6,24;14,57;0,33;0,300;4,54%;0,198;0,63;-93,83;1,96;-104,25;8,10;-0,32%;2,86%;3,59;-0,27%;2,26%;107.474.000,00;23.691.700.000,00;0,27;14,81%
LJQQ3;3,40;14,58;1,17;0,265;4,76%;0,177;0,58;9,94;-1,15;6,85;2,36;2,67%;1,82%;1,79;2,58%;8,03%;12.967.600,00;566.240.000,00;1,05;9,48%
TNCP3;184,85;14,59;2,52;3,129;0,00%;1,717;53,30;12,00;-22,58;12,03;8,83;26,08%;21,44%;1,15;16,48%;17,29%;0,00;13.081.500.000,00;0,09;97,79%
SLCE3;18,66;14,62;1,69;1,031;4,74%;0,532;3,13;5,50;-2,74;8,35;7,18;18,75%;7,04%;1,56;10,96%;11,55%;38.875.600,00;4.896.080.000,00;1,10;25,42%
KSSA3;5,33;14,66;1,40;0,916;0,00%;0,406;1,72;5,62;6,73;12,30;12,30;16,31%;8,42%;1,47;7,67%;9,58%;0,00;553.026.000,00;1,80;40,68%
MOAR3;397,87;14,72;3,18;0,000;4,38%;1,665;3,69;-189,63;20,93;-154,23;-159,46;0,00%;0,00%;5,28;-1,91%;21,64%;884,16;1.530.500.000,00;0,44;-77,34%
MERC4;10,10;14,76;0,72;0,000;5,24%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;4,89%;908,64;251.965.000,00;0,00;-6,49%
TFCO4;10,65;14,78;3,80;2,298;1,94%;2,408;4,92;11,24;7,03;11,57;10,64;20,43%;15,55%;3,23;26,57%;25,69%;1.909.000,00;448.046.000,00;0,26;27,88%
ELUM4;47,90;14,79;1,99;1,251;0,00%;1,178;3,07;19,64;3,34;14,90;14,90;6,37%;8,46%;2,02;9,40%;13,47%;0,00;443.231.000,00;0,08;8,40%
LREN3;17,83;14,88;1,66;1,245;3,63%;0,892;3,87;6,08;7,70;5,68;4,00;20,47%;8,36%;1,66;18,26%;11,19%;392.023.000,00;10.317.100.000,00;0,12;15,83%
TCOC3;38,85;14,90;1,80;2,225;0,00%;1,307;3,78;14,48;4,39;12,23;12,23;15,37%;14,93%;2,53;13,98%;12,06%;0,00;2.812.920.000,00;0,04;16,71%
RDCD3;35,16;15,07;14,74;7,936;0,00%;0,925;21,14;13,40;22,70;14,25;14,26;59,23%;52,65%;1,05;6,97%;97,78%;0,00;1.605.520.000,00;1,04;12,16%
SBSP3;90,08;15,15;1,94;2,278;1,60%;0,952;23,66;7,94;-2,66;10,09;7,26;28,68%;15,04%;1,36;13,13%;12,79%;395.311.000,00;31.797.100.000,00;0,68;10,46%
CPLE5;11,80;15,19;1,42;1,638;4,07%;0,622;6,27;9,56;-2,19;12,08;8,76;17,14%;11,13%;1,57;7,82%;9,36%;7.188,11;24.758.300.000,00;0,67;5,05%
BOAS3;7,95;15,22;1,83;4,929;0,00%;1,699;3,34;25,60;3,54;18,69;8,52;19,25%;32,39%;12,37;12,76%;12,04%;0,00;2.298.770.000,00;0,00;10,99%
PATI3;23,65;15,24;0,65;0,302;21,39%;0,348;0,80;7,26;1,25;7,28;6,19;4,15%;1,98%;2,41;8,26%;4,27%;52.712,60;869.508.000,00;0,45;11,20%
TMGC13;966,14;15,31;1,96;1,406;0,00%;1,353;8,18;21,56;14,45;20,23;20,23;6,52%;9,18%;1,69;8,73%;12,83%;0,00;1.167.010.000,00;0,05;10,49%
BEMA3;10,80;15,32;1,22;1,293;0,00%;0,808;3,18;14,34;11,45;14,43;8,11;9,01%;8,44%;2,66;6,96%;7,95%;0,00;457.342.000,00;0,19;10,58%
ILMD3;29,00;15,73;2,63;0,683;0,00%;1,395;5,70;14,13;7,53;13,13;13,13;4,84%;4,92%;1,60;12,52%;16,69%;0,00;658.715.000,00;0,02;0,65%
AFLT3;7,06;15,84;1,85;8,342;8,25%;1,439;16,14;13,70;34,46;12,95;12,87;60,87%;52,68%;1,52;11,52%;11,65%;5.823,36;241.397.000,00;0,00;14,25%
CRTP5;62,10;15,98;1,71;1,748;0,00%;1,127;3,98;14,09;5,88;12,48;12,48;12,40%;10,94%;2,14;12,36%;10,68%;0,00;1.210.570.000,00;0,12;10,11%
PGMN3;2,65;16,04;0,58;0,131;10,40%;0,180;1,12;3,23;-0,88;6,08;2,94;4,06%;0,84%;1,49;7,13%;3,64%;2.820.360,00;2.637.550.000,00;0,56;16,74%
TUPY4;48,21;16,07;1,89;0,632;0,00%;0,594;1,89;7,23;-11,27;9,69;7,01;8,74%;3,92%;1,99;12,21%;11,76%;0,00;3.679.860.000,00;1,30;29,43%
KLBN4;4,20;16,18;2,76;1,420;5,57%;0,451;2,06;7,35;-0,98;13,90;6,83;19,32%;7,60%;2,85;8,43%;17,03%;5.362.490,00;9.414.280.000,00;3,83;15,20%
FRAS3;20,35;16,21;2,70;1,592;3,00%;1,227;3,35;10,63;13,62;10,35;8,19;14,97%;10,16%;2,39;19,45%;16,65%;10.713.700,00;2.035.240.000,00;0,61;25,71%
KLBN11;21,07;16,24;2,77;1,425;5,56%;0,453;2,07;7,37;-0,98;13,92;6,84;19,32%;7,60%;2,85;8,43%;17,03%;86.280.000,00;9.414.280.000,00;3,83;15,20%
KLBN3;4,22;16,26;2,77;1,427;5,55%;0,454;2,07;7,38;-0,98;13,93;6,85;19,32%;7,60%;2,85;8,43%;17,03%;1.139.720,00;9.414.280.000,00;3,83;15,20%
ILMD4;30,00;16,28;2,72;0,707;0,00%;1,443;5,89;14,62;7,79;13,62;13,62;4,84%;4,92%;1,60;12,52%;16,69%;0,00;658.715.000,00;0,02;0,65%
DURA4;31,39;16,35;2,22;2,182;0,00%;1,224;17,24;10,12;-10,49;11,47;11,47;21,56%;13,39%;1,27;14,38%;13,59%;0,00;1.789.980.000,00;0,52;10,94%
ONCO3;4,86;16,38;0,83;0,540;0,00%;0,262;1,29;4,22;-1,07;8,60;6,32;12,81%;4,71%;1,97;8,47%;5,07%;30.971.300,00;3.811.760.000,00;1,46;36,31%
ASAI3;8,12;16,51;2,27;0,156;0,00%;0,249;-3,56;2,19;-0,47;4,71;3,58;7,10%;0,94%;0,84;17,52%;13,78%;159.833.000,00;4.827.000.000,00;3,67;33,75%
ESTC11;23,50;16,54;0,77;0,456;0,00%;0,258;2,75;3,06;-0,60;8,83;4,34;14,91%;2,80%;1,68;9,27%;4,66%;0,00;3.142.670.000,00;1,66;9,76%
IGTI3;2,65;16,55;1,34;4,771;2,12%;0,661;3,20;8,87;-3,52;11,67;9,08;53,75%;28,99%;2,84;10,19%;8,10%;109.921,00;4.159.620.000,00;0,96;15,74%
DURA3;31,90;16,62;2,26;2,218;0,00%;1,244;17,52;10,29;-10,66;11,64;11,64;21,56%;13,39%;1,27;14,38%;13,59%;0,00;1.789.980.000,00;0,52;10,94%
DESK3;14,91;16,64;1,32;1,616;0,28%;0,536;-1.822,83;5,04;-1,27;7,51;4,83;32,05%;11,11%;1,00;11,99%;7,93%;4.089.670,00;1.305.020.000,00;0,87;40,09%
DPPI3;85,00;16,65;4,99;-1,453;0,00%;3,753;8,70;190,72;9,75;177,18;177,18;-0,76%;-5,04%;3,14;3,00%;29,97%;0,00;545.227.000,00;0,06;15,14%
PTNT4;6,66;16,66;0,81;0,429;3,19%;0,365;1,29;12,28;7,32;16,04;7,11;3,49%;4,55%;2,29;4,06%;4,83%;73.961,70;397.417.000,00;0,66;10,66%
PNVL3;10,16;16,73;1,30;0,324;3,42%;0,486;2,20;10,52;-17,44;16,34;6,80;3,08%;1,94%;1,58;6,27%;7,80%;3.735.680,00;1.171.580.000,00;0,95;14,17%
BPAC3;15,97;16,79;3,46;0,000;1,64%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;20,63%;74.684,70;53.075.600.000,00;0,00;15,99%
TASA4;10,52;16,97;1,13;0,777;2,88%;0,582;3,54;8,83;8,18;11,10;8,79;8,79%;4,58%;1,42;7,76%;6,65%;3.356.720,00;1.181.170.000,00;0,50;6,32%
SOND3;46,01;17,00;2,15;0,670;9,97%;1,122;3,88;4,52;6,95;3,47;2,96;14,84%;3,97%;1,82;34,46%;12,68%;0,00;52.489.000,00;0,00;32,01%
TIMP3;13,46;17,13;1,43;1,903;0,00%;0,818;15,37;9,79;-3,78;9,72;3,77;19,44%;11,11%;1,34;9,67%;8,33%;0,00;22.847.800.000,00;0,14;2,29%
JBSS3;31,11;17,18;1,49;0,183;6,43%;0,314;2,17;4,94;-0,80;10,82;6,05;3,70%;1,25%;1,62;8,31%;8,69%;294.173.000,00;46.216.700.000,00;2,24;12,11%
IGTA3;33,13;17,22;1,54;5,580;0,00%;0,937;8,26;10,74;-6,48;12,46;9,63;51,96%;32,72%;1,85;10,95%;8,94%;0,00;3.754.160.000,00;0,58;11,34%
NINJ3;4,65;17,22;0,82;3,795;0,00%;0,768;0,84;-13,89;0,84;2,75;3,74;-27,32%;22,03%;17,36;-97,13%;4,74%;68.662,80;289.829.000,00;0,00;1,18%
BMTO4;7,57;17,27;2,07;0,000;0,00%;2,030;0,00;-2.625,16;0,00;-2.624,05;-1.477,48;0,00%;0,00%;0,00;0,00%;12,00%;0,00;1.046.320.000,00;0,00;0,00%
EQTL3;32,44;17,41;1,69;0,905;1,36%;0,361;3,93;3,98;-0,75;7,70;6,35;22,76%;7,60%;1,53;10,76%;9,71%;247.643.000,00;22.466.600.000,00;2,12;24,67%
BPAN4;10,15;17,41;1,57;0,000;2,12%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;9,05%;19.313.600,00;8.179.170.000,00;0,00;10,89%
BSLI4;9,00;17,44;1,41;0,000;0,78%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;8,09%;6.008,13;2.538.240.000,00;0,00;4,22%
BFIT4;0,93;17,55;1,96;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;11,15%;0,00;1.849.420.000,00;0,00;35,67%
ALOS3;21,87;17,56;0,85;4,355;5,41%;0,432;5,01;9,33;-1,48;6,53;4,37;46,67%;29,02%;2,06;5,33%;4,83%;94.932.900,00;14.003.200.000,00;0,00;34,09%
TASA3;10,93;17,63;1,17;0,807;2,78%;0,605;3,68;9,18;8,50;11,45;9,06;8,79%;4,58%;1,42;7,76%;6,65%;185.798,00;1.181.170.000,00;0,50;6,32%
CCRO3;12,39;17,70;1,90;1,214;3,41%;0,452;7,09;4,46;-0,80;8,90;6,90;27,20%;7,72%;1,52;11,62%;10,75%;77.383.300,00;13.158.100.000,00;2,37;18,53%
VIVT3;55,60;17,71;1,33;1,706;4,81%;0,740;137,20;11,55;-2,96;13,00;4,77;14,77%;9,67%;1,03;7,45%;7,51%;126.928.000,00;69.086.200.000,00;0,27;5,87%
LUXM4;13,46;17,80;2,19;2,097;1,65%;1,591;-113,08;13,52;-10,86;13,16;7,89;15,51%;11,78%;0,90;12,68%;12,32%;1.662,22;127.589.000,00;0,01;4,89%
BMTO3;7,82;17,84;2,14;0,000;0,00%;2,097;0,00;-2.711,85;0,00;-2.710,74;-1.526,30;0,00%;0,00%;0,00;0,00%;12,00%;0,00;1.046.320.000,00;0,00;0,00%
UCOP4;6,50;18,01;1,30;19,050;0,00%;0,844;5,14;22,70;-8,61;24,17;41,56;83,92%;110,51%;13,37;3,91%;7,23%;0,00;972.713.000,00;0,16;9,25%
ODER4;100,00;18,49;2,15;1,567;1,72%;1,141;2,39;13,34;4,20;13,63;11,46;11,75%;8,48%;2,81;11,36%;11,64%;0,00;524.648.000,00;0,39;11,39%
SRNA3;8,34;18,49;0,98;1,577;0,00%;0,268;-5,78;5,47;-0,45;16,45;10,08;28,81%;8,52%;0,72;5,35%;5,29%;19.774.400,00;5.313.580.000,00;2,21;60,03%
BFIT3;0,98;18,49;2,06;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;11,15%;0,00;1.849.420.000,00;0,00;35,67%
TMCP3;56,00;18,58;1,38;1,525;0,00%;0,937;3,85;24,25;4,74;19,68;19,68;6,29%;9,75%;2,30;5,54%;7,44%;0,00;1.798.930.000,00;0,03;10,49%
BSLI3;9,61;18,62;1,51;0,000;0,66%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;8,09%;3.912,20;2.538.240.000,00;0,00;4,22%
GEPA3;29,49;18,66;0,00;4,039;14,22%;0,000;0,00;16,55;0,00;16,55;10,71;24,41%;21,65%;0,00;0,00%;0,00%;3.554,98;0,00;0,00;-12,56%
PATI4;29,00;18,69;0,80;0,370;24,56%;0,426;0,98;8,91;1,53;8,93;7,59;4,15%;1,98%;2,41;8,26%;4,27%;6.178,58;869.508.000,00;0,45;11,20%
EMBR3;48,27;18,70;2,25;1,262;0,00%;0,591;3,30;15,39;-3,32;18,86;12,39;8,20%;7,04%;1,50;4,87%;12,01%;391.122.000,00;15.915.600.000,00;0,93;20,31%
GGPS3;18,56;18,73;3,82;1,039;1,71%;0,922;3,18;12,56;-3,89;14,92;11,41;8,27%;5,60%;2,26;9,37%;20,40%;45.800.600,00;3.278.480.000,00;1,45;23,62%
STBP3;14,86;18,79;5,59;5,038;5,06%;2,665;-321,05;12,38;-7,20;12,60;10,29;40,68%;26,82%;0,95;23,72%;29,75%;101.474.000,00;2.297.950.000,00;0,23;28,55%
IGTI11;21,13;18,85;1,53;5,434;1,87%;0,753;3,65;10,11;-4,01;12,90;10,04;53,75%;28,99%;2,84;10,19%;8,10%;63.350.800,00;4.159.620.000,00;0,96;15,74%
BAUH4;79,00;18,87;3,62;1,783;1,04%;2,383;18,56;24,04;22,74;22,07;16,50;7,42%;9,45%;1,40;17,24%;19,21%;5.098,84;113.812.000,00;0,01;6,35%
SMLE3;92,82;18,88;21,91;6,635;0,00%;6,477;-124,00;16,50;-42,31;16,32;13,20;40,22%;35,14%;0,91;46,17%;116,04%;0,00;524.731.000,00;0,00;36,83%
GEPA4;30,00;18,98;0,00;4,109;13,98%;0,000;0,00;16,83;0,00;16,83;10,89;24,41%;21,65%;0,00;0,00%;0,00%;17.035,70;0,00;0,00;-12,56%
WHRL3;4,39;19,05;2,64;0,547;12,36%;0,689;12,52;7,77;-23,73;6,37;5,20;7,04%;2,89%;1,08;25,94%;13,84%;22.631,70;2.502.520.000,00;0,46;8,42%
SOND5;51,99;19,21;2,43;0,757;9,70%;1,267;4,39;5,10;7,85;4,06;3,46;14,84%;3,97%;1,82;34,46%;12,68%;115,53;52.489.000,00;0,00;32,01%
TMCP4;58,20;19,31;1,44;1,585;0,00%;0,973;4,00;25,21;4,92;20,63;20,63;6,29%;9,75%;2,30;5,54%;7,44%;0,00;1.798.930.000,00;0,03;10,49%
TIMS3;18,71;19,54;0,00;2,458;5,14%;0,000;0,00;11,25;0,00;11,25;6,01;21,85%;12,58%;0,00;0,00%;0,00%;112.541.000,00;0,00;0,00;4,07%
YDUQ3;9,27;19,57;0,91;0,540;2,95%;0,305;3,26;3,62;-0,71;9,39;4,61;14,91%;2,80%;1,68;9,27%;4,66%;54.791.200,00;3.142.670.000,00;1,66;9,76%
AUTM3;19,70;20,00;1,90;0,709;0,00%;0,547;4,08;6,78;-2,42;8,22;8,99;10,47%;4,31%;1,48;11,93%;9,50%;0,00;1.304.250.000,00;0,97;28,21%
AEDU11;37,35;20,13;1,13;1,405;0,00%;0,732;5,77;13,93;-7,31;16,14;10,82;10,08%;6,98%;2,04;5,77%;5,60%;0,00;2.415.400.000,00;0,30;20,90%
WHRL4;4,65;20,18;2,79;0,579;12,83%;0,730;13,26;8,23;-25,14;6,83;5,58;7,04%;2,89%;1,08;25,94%;13,84%;64.363,50;2.502.520.000,00;0,46;8,42%
AZZA3;42,87;20,20;2,88;1,729;2,04%;1,475;10,32;16,90;-123,82;18,14;12,45;10,23%;8,48%;1,43;11,16%;14,27%;94.161.200,00;3.069.790.000,00;0,39;39,34%
JPSA3;29,02;20,27;1,93;4,667;0,29%;0,468;2,34;12,96;-1,68;20,35;12,83;36,02%;46,31%;5,31;4,56%;9,51%;7.666.510,00;1.762.140.000,00;1,94;1,01%
SOND6;55,00;20,32;2,58;0,801;9,17%;1,341;4,64;5,40;8,30;4,36;3,71;14,84%;3,97%;1,82;34,46%;12,68%;0,00;52.489.000,00;0,00;32,01%
ELET3;39,49;20,50;0,80;2,544;1,02%;0,333;2,90;11,61;-0,87;17,41;11,74;21,92%;12,41%;2,35;3,20%;3,90%;302.717.000,00;114.094.000.000,00;0,63;4,30%
LAME4;6,55;20,99;1,89;0,476;0,00%;0,282;1,19;7,32;-4,32;11,24;5,46;6,51%;2,51%;1,72;6,53%;9,02%;0,00;6.514.640.000,00;2,54;9,72%
OFSA3;20,98;21,13;1,64;1,204;2,92%;0,866;2,00;9,49;5,14;10,06;7,67;12,69%;5,70%;3,08;13,88%;7,77%;81.303,50;689.465.000,00;0,60;10,01%
